ID	BARCODE	PRIMER	ERROR
M05295:78:000000000-BJNBT:1:1102:16705:1935		IGH.forP4.1_12N	0.5294117647058824
M05295:78:000000000-BJNBT:1:1102:8301:1938		IGH.forP4.1_12N	0.0
M05295:78:000000000-BJNBT:1:1102:14255:1931		IGH.forP135_08N	0.0
M05295:78:000000000-BJNBT:1:1102:15658:1939		IGH.forP6_12N	0.6666666666666667
M05295:78:000000000-BJNBT:1:1102:12920:1934		IGH.forP4.2_12N	0.5555555555555556
M05295:78:000000000-BJNBT:1:1102:21088:1936		IGH.forP2_08N	0.5789473684210527
M05295:78:000000000-BJNBT:1:1102:9562:1935		IGH.forP4.1_12N	0.47058823529411764
M05295:78:000000000-BJNBT:1:1102:15383:1938		IGH.forP4.2_12N	0.5555555555555556
M05295:78:000000000-BJNBT:1:1102:11271:1936		IGH.forP4.2_12N	0.4444444444444444
M05295:78:000000000-BJNBT:1:1102:18728:1942		IGH.forP4.1_12N	0.0
M05295:78:000000000-BJNBT:1:1102:9046:1935		IGH.forP2_08N	0.6842105263157895
M05295:78:000000000-BJNBT:1:1102:15232:1936		IGH.forP4.2_12N	0.5
M05295:78:000000000-BJNBT:1:1102:16001:1934		IGH.forP135_08N	0.631578947368421
M05295:78:000000000-BJNBT:1:1102:12736:1942		IGH.forP4.1_12N	0.5294117647058824
M05295:78:000000000-BJNBT:1:1102:20366:1934		IGH.forP6_12N	0.5
M05295:78:000000000-BJNBT:1:1102:12404:1935		IGH.forP4.2_12N	0.0
M05295:78:000000000-BJNBT:1:1102:20464:1941		IGH.forP2_08N	0.6842105263157895
M05295:78:000000000-BJNBT:1:1102:20901:1940		IGH.forP6_12N	0.0
M05295:78:000000000-BJNBT:1:1102:16662:1939		IGH.forP4.1_12N	0.4117647058823529
M05295:78:000000000-BJNBT:1:1102:8976:1933		IGH.forP4.1_12N	0.0
M05295:78:000000000-BJNBT:1:1102:18968:1940		IGH.forP135_08N	0.0
M05295:78:000000000-BJNBT:1:1102:16511:1940		IGH.forP4.2_12N	0.5
M05295:78:000000000-BJNBT:1:1102:16073:1940		IGH.forP4.2_12N	0.5
M05295:78:000000000-BJNBT:1:1102:22199:1937		IGH.forP4.1_12N	0.5294117647058824
M05295:78:000000000-BJNBT:1:1102:17886:1938		IGH.forP2_08N	0.6842105263157895
M05295:78:000000000-BJNBT:1:1102:8950:1942		IGH.forP4.1_12N	0.0
M05295:78:000000000-BJNBT:1:1102:23569:1938		IGH.forP135_08N	0.0
M05295:78:000000000-BJNBT:1:1102:17288:1943		IGH.forP1_08N	0.5882352941176471
M05295:78:000000000-BJNBT:1:1102:18351:1931		IGH.forP2_08N	0.631578947368421
M05295:78:000000000-BJNBT:1:1102:11847:1942		IGH.forP4.2_12N	0.05555555555555558
M05295:78:000000000-BJNBT:1:1102:10980:1942		IGH.forP4.1_12N	0.6470588235294117
M05295:78:000000000-BJNBT:1:1102:21723:1943		IGH.forP135_08N	0.0
M05295:78:000000000-BJNBT:1:1102:12535:1942		IGH.forP135_08N	0.0
M05295:78:000000000-BJNBT:1:1102:22487:1942		IGH.forP4.1_12N	0.5882352941176471
M05295:78:000000000-BJNBT:1:1102:20613:1941		IGH.forP135_08N	0.0
M05295:78:000000000-BJNBT:1:1102:18784:1940		IGH.forP4.2_12N	0.05555555555555558
M05295:78:000000000-BJNBT:1:1102:12131:1942		IGH.forP2_08N	0.6842105263157895
M05295:78:000000000-BJNBT:1:1102:22766:1942		IGH.forP2_08N	0.5789473684210527
M05295:78:000000000-BJNBT:1:1102:10544:1939		IGH.forP2_08N	0.6842105263157895
M05295:78:000000000-BJNBT:1:1102:12797:1943		IGH.forP4.1_12N	0.5294117647058824
M05295:78:000000000-BJNBT:1:1102:24026:1941		IGH.forP135_08N	0.0
M05295:78:000000000-BJNBT:1:1102:14978:1942		IGH.forP6_12N	0.5
M05295:78:000000000-BJNBT:1:1102:15215:1938		IGH.forP4.2_12N	0.0
M05295:78:000000000-BJNBT:1:1102:20645:1943		IGH.forP4.1_12N	0.7058823529411764
M05295:78:000000000-BJNBT:1:1102:18579:1943		IGH.forP4.1_12N	0.7058823529411764
M05295:78:000000000-BJNBT:1:1102:19676:1942		IGH.forP2_08N	0.631578947368421
M05295:78:000000000-BJNBT:1:1102:18668:1945		IGH.forP135_08N	0.052631578947368474
M05295:78:000000000-BJNBT:1:1102:19768:1944		IGH.forP2_08N	0.631578947368421
M05295:78:000000000-BJNBT:1:1102:9892:1944		IGH.forP2_08N	0.6842105263157895
M05295:78:000000000-BJNBT:1:1102:13552:1943		IGH.forP2_08N	0.631578947368421
M05295:78:000000000-BJNBT:1:1102:8073:1944		IGH.forP4.1_12N	0.5882352941176471
M05295:78:000000000-BJNBT:1:1102:12621:1942		IGH.forP135_08N	0.052631578947368474
M05295:78:000000000-BJNBT:1:1102:15898:1942		IGH.forP2_08N	0.631578947368421
M05295:78:000000000-BJNBT:1:1102:17919:1945		IGH.forP135_08N	0.0
M05295:78:000000000-BJNBT:1:1102:18310:1947		IGH.forP4.1_12N	0.7058823529411764
M05295:78:000000000-BJNBT:1:1102:13567:1943		IGH.forP2_08N	0.6842105263157895
M05295:78:000000000-BJNBT:1:1102:9733:1945		IGH.forP4.1_12N	0.6470588235294117
